1;arms_factory;2379.00;9.50;1235.00;5.38;0
1;arms_factory;2377.00;9.60;1240.00;1.77;0
1;arms_factory;2377.00;9.50;1235.00;3.32;0
1;arms_factory;2379.00;9.63;1224.00;1.17;0
1;arms_factory;2376.00;9.60;1222.00;2.38;0
1;arms_factory;2387.00;9.60;1236.00;5.39;0
1;industrial_complex;2371.00;9.60;1232.00;1.77;0
1;industrial_complex;2386.00;9.55;1236.00;4.44;0
1;industrial_complex;2377.00;9.60;1219.00;2.27;0
1;industrial_complex;2390.00;9.60;1230.00;3.84;0
1;industrial_complex;2388.00;9.68;1222.00;0.22;0
1;industrial_complex;2373.00;9.60;1227.00;2.88;0
1;air_base;2376.00;9.50;1234.00;0.72;0
1;bunker;2388.00;9.60;1238.00;2.28;0
1;bunker;2377.00;9.50;1232.00;4.94;0
1;bunker;2374.00;9.60;1224.00;1.33;0
1;bunker;2384.00;9.60;1221.00;5.45;0
1;bunker;2390.00;9.60;1230.00;5.55;0
1;anti_air_building;2373.00;9.60;1231.00;3.39;0
1;anti_air_building;2382.00;9.50;1235.00;1.23;0
1;anti_air_building;2378.00;9.60;1217.00;1.33;0
1;synthetic_refinery;2386.00;9.63;1229.00;5.46;0
1;fuel_silo;2380.00;9.68;1223.00;1.84;0
1;radar_station;2382.00;9.60;1231.00;2.96;0
1;rocket_site;2381.00;9.70;1227.00;6.06;0
1;nuclear_reactor;2375.00;9.60;1238.00;3.90;0
2;arms_factory;2356.00;10.00;1206.00;3.32;0
2;arms_factory;2366.00;10.03;1206.00;1.17;0
2;arms_factory;2362.00;9.95;1214.00;2.38;0
2;arms_factory;2372.00;9.73;1214.00;5.39;0
2;arms_factory;2347.00;10.45;1245.00;1.77;0
2;arms_factory;2356.00;10.35;1247.00;4.44;0
2;industrial_complex;2368.00;10.10;1204.00;2.27;0
2;industrial_complex;2350.00;9.85;1220.00;3.84;0
2;industrial_complex;2350.00;9.90;1202.00;0.22;0
2;industrial_complex;2356.00;9.90;1224.00;2.88;0
